Περιγραφή|Κώδικας
Αντιστροφή χαρακτήρων μονοδιάστατου πίνακα Χ[20] με χρήση βοηθητικής μεταβλητής.|ΓΙΑ Ι ΑΠΟ 1 ΜΕΧΡΙ %10%\n  ΤΕΜΠ <- Χ[Ι]\n  Χ[Ι] <- Χ[%21% - Ι]\n  Χ[%21% - Ι] <- %ΤΕΜΠ%\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ
Έλεγχος αν δύο μονοδιάστατοι πίνακες Α[50] και Β[50] είναι ίδιοι.|Ι <- %1%\nΙΔΙΟΙ <- %ΑΛΗΘΗΣ%\nΟΣΟ Ι <= 50 ΚΑΙ ΙΔΙΟΙ = %ΑΛΗΘΗΣ% ΕΠΑΝΑΛΑΒΕ\n  ΑΝ Α[Ι] <> Β[Ι] ΤΟΤΕ\n    ΙΔΙΟΙ <- ΨΕΥΔΗΣ\n  ΑΛΛΙΩΣ\n    Ι <- Ι + %1%\n  ΤΕΛΟΣ_ΑΝ\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ\nΑΝ ΙΔΙΟΙ = ΑΛΗΘΗΣ\n  ΓΡΑΨΕ 'ΙΔΙΟΙ ΠΙΝΑΚΕΣ'\nΤΕΛΟΣ_ΑΝ
Εύρεση της θέσης της πρώτης εμφάνισης του μέγιστου στοιχείου σε πίνακα Α[100].|ΜΑΧ <- Α[%1%]\nΘΕΣΗ <- %1%\nΓΙΑ Ι ΑΠΟ 2 ΜΕΧΡΙ 100\n  ΑΝ Α[Ι] %>% ΜΑΧ ΤΟΤΕ\n    ΜΑΧ <- Α[Ι]\n    ΘΕΣΗ <- %Ι%\n  ΤΕΛΟΣ_ΑΝ\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ\nΓΡΑΨΕ ΘΕΣΗ
Υπολογισμός πλήθους και αθροίσματος των άρτιων αριθμών από 1 έως Ν.|ΔΙΑΒΑΣΕ Ν\nΠΛ <- %0%\nΣ <- %0%\nΓΙΑ Ι ΑΠΟ 1 ΜΕΧΡΙ Ν\n  ΑΝ Ι %MOD% %2% = %0% ΤΟΤΕ\n    ΠΛ <- ΠΛ + %1%\n    Σ <- Σ + Ι\n  ΤΕΛΟΣ_ΑΝ\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ\nΓΡΑΨΕ ΠΛ, Σ
Υπολογισμός του αθροίσματος Σ = 1 − 1/3 + 1/5 − 1/7 + … και της προσεγγιστικής τιμής του π = 4*Σ με 100 όρους.|ΠΑΡΟΝΟΜΑΣΤΗΣ <- %1%\nΣ <- 0\nΠΡΟΣΗΜΟ <- 1\nΓΙΑ Ι ΑΠΟ 1 ΜΕΧΡΙ 100\n  ΟΡΟΣ <- 1 / ΠΑΡΟΝΟΜΑΣΤΗΣ\n  ΟΡΟΣ <- %ΟΡΟΣ% * ΠΡΟΣΗΜΟ\n  %Σ% <- Σ + ΟΡΟΣ\n  ΠΡΟΣΗΜΟ <- ΠΡΟΣΗΜΟ * (%-1%)\n  ΠΑΡΟΝΟΜΑΣΤΗΣ <- ΠΑΡΟΝΟΜΑΣΤΗΣ + 2\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ\nΠ <- %4% * Σ
Δημιουργία πίνακα Ζ[10] με τις δέκα μεγαλύτερες τιμές από τους πίνακες Χ[50] (φθίνουσα διάταξη) και Υ[100] (αύξουσα διάταξη).|i <- %1%\nj <- %100%\nΓΙΑ k ΑΠΟ 1 ΜΕΧΡΙ 10\n  ΑΝ Χ[i] %>% Υ[j] ΤΟΤΕ\n    Ζ[%k%] <- Χ[i]\n    i <- i + %1%\n  ΑΛΛΙΩΣ\n    Ζ[k] <- Υ[j]\n    j <- j %-% 1\n  ΤΕΛΟΣ_ΑΝ\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ
Τμήμα αλγορίθμου ώστε να εμφανίζει διαδοχικά τις τιμές 2, 4, 8, 10, 14.|ΓΙΑ Ι ΑΠΟ %2% ΜΕΧΡΙ %14% ΜΕ_ΒΗΜΑ %2%\n  ΑΝ Ι <> %6% ΚΑΙ Ι <> %12% ΤΟΤΕ\n    ΕΜΦΑΝΙΣΕ Ι\n  ΤΕΛΟΣ_ΑΝ\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ
Πρώτη φάση της συγχώνευσης των ταξινομημένων πινάκων Α[100] και Β[200] σε πίνακα Γ[300]. Ο πίνακας Α είναι ταξινομημένος σε αύξουσα σειρά και ο πίνακας Β σε φθίνουσα.|i <- 1\nj <- %200%\nk <- %1%\nΟΣΟ i <= %100% ΚΑΙ j >= 1 ΕΠΑΝΑΛΑΒΕ\n  ΑΝ Α[%i%] <= Β[%j%] ΤΟΤΕ\n    Γ[%k%] <- Α[i]\n    i <- i + %1%\n  ΑΛΛΙΩΣ\n    Γ[%k%] <- Β[%j%]\n    j <- j - %1%\n  ΤΕΛΟΣ_ΑΝ\n  k <- k + 1\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ
Τμήμα αλγορίθμου που εμφανίζει τις τιμές: 4, 8, 16, 20, 28, 32, 40|i <-- %4%\nΌσο i≤ %40% επανάλαβε\n  Αν i mod %6% <> %0% τότε\n    Γράψε i\n  Τέλος_αν\n  i <-- i + %4%\nΤέλος_επανάληψης
Διαδικασία η οποία αντιγράφει όλα τα στοιχεία της ουράς στην αρχή της, αναπροσαρμόζοντας κατάλληλα τους δείκτες ΜΠ (εμπρός) και ΠΙ (πίσω).|ΔΙΑΔΙΚΑΣΙΑ ΟΛΙΣΘΗΣΗ (O, ΜΠ, ΠΙ)\nΜΕΤΑΒΛΗΤΕΣ\n  ΧΑΡΑΚΤΗΡΕΣ: Ο[10]\n  ΑΚΕΡΑΙΕΣ: ΜΠ, ΠΙ, Ι, Κ\nΑΡΧΗ\n  Κ ← %0%\n  ΓΙΑ Ι ΑΠΟ ΜΠ ΜΕΧΡΙ ΠΙ\n    Κ ← Κ + %1%\n    O[%Κ%]←O[%Ι%]\n  ΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ\n  ΜΠ ← 1\n  ΠΙ ← %Κ%\nΤΕΛΟΣ_ΔΙΑΔΙΚΑΣΙΑΣ
Αλγορίθμος ο οποίος αντιγράφει κατάλληλα τις τιμές που βρίσκονται κάτω από την κύρια διαγώνιο, στις θέσεις του τετραγωνικού πίνακα Α[5,5] που βρίσκονται πάνω από την κύρια διαγώνιο. Για παράδειγμα, η τιμή του Α[4,2] αντιγράφεται στη θέση Α[2,4].|Για Ι από 2 μέχρι %5%\n  Για Κ από %1% μέχρι Ι-%1%\n    Α[%Κ%, %Ι%] <-- Α[Ι, Κ]\n  Τέλος _επανάληψης\nΤέλος_επανάληψης
Αντιμετάθεση τιμών δύο μεταβλητών|ΤΕΜΠ <- Χ\n%Χ% <- Υ\n%Υ% <- ΤΕΜΠ
Ώθηση (Push) το ΣΤΟΙΧΕΙΟ σε Στοίβα Σ 10 θέσεων|ΑΝ ΤΟΠ < %10% ΤΟΤΕ\n  ΤΟΠ <- ΤΟΠ + %1%\n  Σ[%ΤΟΠ%] <- ΣΤΟΙΧΕΙΟ\nΑΛΛΙΩΣ\n  ΓΡΑΨΕ 'Υπερχείλιση'\nΤΕΛΟΣ_ΑΝ
Άθροισμα θετικών αριθμών. Η επανάληψη σταματά όταν διαβαστούν 3 διαδοχικοί αρνητικοί αριθμοί ή όταν διαβαστούν 100 αριθμοί|Σ <- 0 !αθροισμα θετικών\nΠ <- 0 !πλήθος αριθμών που δίνονται\nΠ_Α <- 0 !πλήθος αρνητικών\nΟΣΟ Π_Α < %3% ΚΑΙ Π < 100 ΕΠΑΝΑΛΑΒΕ\n  Π <- Π + 1\n  ΔΙΑΒΑΣΕ Χ\n  ΑΝ Χ > 0 ΤΟΤΕ\n    Σ <- Σ + %Χ%\n    Π_Α <- %0%\n  ΑΛΛΙΩΣ_ΑΝ Χ < 0 ΤΟΤΕ\n    Π_Α <- Π_Α + 1\n  ΑΛΛΙΩΣ\n    Π_Α <- %0%\n  ΤΕΛΟΣ_ΑΝ\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ
Εμφάνιση στην έξοδο διαδοχικών αριθμών 1,2,3,4,5,1,2,3,4,1,2,3|ΓΙΑ Χ ΑΠΟ 5 ΜΕΧΡΙ %3% ΜΕ_ΒΗΜΑ %-1%\n  ΓΙΑ %Ψ% ΑΠΟ 1 ΜΕΧΡΙ %Χ% ΜΕ_ΒΗΜΑ %1%\n    ΓΡΑΨΕ Ψ\n  ΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ
Δυαδική αναζήτηση το ΚΛΕΙΔΙ σε ταξινομημένο πίνακα Π[100]|ΔΙΑΒΑΣΕ ΚΛΕΙΔΙ\nΑΡ <- 1\nΔΕ <- 100\nΒΡΕΘΗΚΕ <- ΨΕΥΔΗΣ\nΟΣΟ ΒΡΕΘΗΚΕ = ΨΕΥΔΗΣ ΚΑΙ %ΑΡ% <= ΔΕ ΕΠΑΝΑΛΑΒΕ\n  Μ <- (ΑΡ + ΔΕ) %DIV% 2\n  ΑΝ ΚΛΕΙΔΙ = Π[%Μ%] ΤΟΤΕ\n    ΒΡΕΘΗΚΕ <- ΑΛΗΘΗΣ\n    ΘΕΣΗ <- %Μ%\n  ΑΛΛΙΩΣ_ΑΝ ΚΛΕΙΔΙ %>% Π[Μ] ΤΟΤΕ\n    ΑΡ <- %Μ% + 1\n  ΑΛΛΙΩΣ\n    ΔΕ <- Μ %-% 1\n  ΤΕΛΟΣ_ΑΝ\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ
Ταξινόμηση Bubble Sort χωρίς περιττές επαναλήψεις με χρήση ΜΕΧΡΙΣ_ΟΤΟΥ. Η ταξινόμηση σταματά όταν ο πίνακας είναι ταξινομημένος|Ι <- %2%\nΑΡΧΗ_ΕΠΑΝΑΛΗΨΗΣ\n  ΤΑΞΙΝΟΜΗΜΕΝΟΣ <- %ΑΛΗΘΗΣ%\n  ΓΙΑ J ΑΠΟ 100 ΜΕΧΡΙ %Ι% ΜΕ_ΒΗΜΑ -1\n    ΑΝ Π[J] < Π[J-1] ΤΟΤΕ\n      ΤΕΜΠ <- Π[J]\n      Π[J] <- Π[J-1]\n      Π[J-1] <- ΤΕΜΠ\n      ΤΑΞΙΝΟΜΗΜΕΝΟΣ <- %ΨΕΥΔΗΣ%\n    ΤΕΛΟΣ_ΑΝ\n  ΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ\n  Ι <- %Ι% + 1\nΜΕΧΡΙΣ_ΟΤΟΥ Ι > 100 Η ΤΑΞΙΝΟΜΗΜΕΝΟΣ = ΑΛΗΘΗΣ
Σειριακή αναζήτηση για το ΚΛΕΙΔΙ σε πίνακα 2 διαστάσεων Π[10,20]|Ι <- 1\nΒΡΕΘΗΚΕ <- ΨΕΥΔΗΣ\nΟΣΟ Ι <= %10% ΚΑΙ ΒΡΕΘΗΚΕ = %ΨΕΥΔΗΣ% ΕΠΑΝΑΛΑΒΕ\n  J <- %1%\n  ΟΣΟ J <= 20 ΚΑΙ ΒΡΕΘΗΚΕ = ΨΕΥΔΗΣ ΕΠΑΝΑΛΑΒΕ\n    ΑΝ Π[Ι,J] = ΚΛΕΙΔΙ ΤΟΤΕ\n      ΒΡΕΘΗΚΕ <- %ΑΛΗΘΗΣ%\n      ΓΡ <- Ι\n      ΣΤ <- J\n    ΤΕΛΟΣ_ΑΝ\n    J <- J + %1%\n  ΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ\n  Ι <- Ι + 1\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ
Άθροισμα στοιχείων κυρίας διαγωνίου σε τετραγωνικό πίνακα Π[10,10]|Σ <- 0\nΓΙΑ Ι ΑΠΟ 1 ΜΕΧΡΙ 10\n  Σ <- %Σ% + Π[Ι,%Ι%]\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ
Άθροισμα στοιχείων δευτερεύουσας σε τετραγωνικό πίνακα διαγωνίου Π[10,10]|Σ <- %0%\nΓΙΑ Ι ΑΠΟ 1 ΜΕΧΡΙ %10%\n  Σ <- Σ + Π[Ι,%11% - Ι]\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ
Πρόσβαση στοιχείων πάνω από την κυρία διαγώνιο σε τετραγωνικό πίνακα Π[10,10]|ΓΙΑ Ι ΑΠΟ 1 ΜΕΧΡΙ %9%\n  ΓΙΑ J ΑΠΟ %Ι%+%1% ΜΕΧΡΙ 10\n    ΓΡΑΨΕ Π[Ι,J]\n  ΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ
Πρόσβαση στοιχείων κάτω από την κυρία διαγώνιο σε τετραγωνικό πίνακα Π[10,10]|ΓΙΑ Ι ΑΠΟ %2% ΜΕΧΡΙ 10\n  ΓΙΑ J ΑΠΟ 1 ΜΕΧΡΙ %Ι%-%1%\n    ΓΡΑΨΕ Π[Ι,J]\n  ΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ
Εισαγωγή(Enqueue) του ΣΤΟΙΧΕΙΟ σε Ουρά Π 10 θέσεων |ΔΙΑΒΑΣΕ ΣΤΟΙΧΕΙΟ\nΑΝ ΠΙΣΩ = %10% ΤΟΤΕ\n  ΓΡΑΨΕ 'Γεμάτη Ουρά'\nΑΛΛΙΩΣ_ΑΝ ΠΙΣΩ = %0% ΤΟΤΕ\n  ΕΜΠΡΟΣ <- %1%\n  ΠΙΣΩ <- %1%\n  Π[ΠΙΣΩ] <- ΣΤΟΙΧΕΙΟ\nΑΛΛΙΩΣ\n  ΠΙΣΩ <- ΠΙΣΩ + %1%\n  Π[%ΠΙΣΩ%] <- ΣΤΟΙΧΕΙΟ\nΤΕΛΟΣ_ΑΝ
Εξαγωγή (Dequeue) από Ουρά Π 10 θέσεων|ΑΝ ΕΜΠΡΟΣ = %0% ΤΟΤΕ\n  ΓΡΑΨΕ 'Άδεια Ουρά'\nΑΛΛΙΩΣ_ΑΝ ΕΜΠΡΟΣ = %ΠΙΣΩ% ΤΟΤΕ\n  ΓΡΑΨΕ Π[ΕΜΠΡΟΣ]\n  ΕΜΠΡΟΣ <- %0%\n  ΠΙΣΩ <- %0%\nΑΛΛΙΩΣ\n  ΓΡΑΨΕ Π[ΕΜΠΡΟΣ]\n  ΕΜΠΡΟΣ <- ΕΜΠΡΟΣ %+% 1\nΤΕΛΟΣ_ΑΝ
Αναζήτηση τιμής 2021 σε Χ[100]|Ι <- 1\nΟΣΟ Ι <= 100 ΚΑΙ Χ[Ι] <> %2021% ΕΠΑΝΑΛΑΒΕ\n  Ι <- Ι + %1%\nΤΕΛΟΣ_ΕΠΑΝΑΛΗΨΗΣ\nΑΝ Χ[Ι] = %2021% ΤΟΤΕ\n  ΓΡΑΨΕ Ι\nΑΛΛΙΩΣ\n  ΓΡΑΨΕ 'ΔΕ ΒΡΕΘΗΚΕ'\nΤΕΛΟΣ_ΑΝ
Έλεγχος αν αριθμός Ν είναι πρώτος, δηλαδή βρεθούν διαιρέτες στο διάστημα [2,Ν-1]|ΔΙΑΒΑΣΕ Ν\nΠΡΩΤΟΣ <- ΑΛΗΘΗΣ\nΙ <- 2\nΑΡΧΗ_ΕΠΑΝΑΛΗΨΗΣ\n  ΑΝ Ν %MOD% Ι = 0 ΤΟΤΕ\n    ΠΡΩΤΟΣ <- %ΨΕΥΔΗΣ%\n  ΤΕΛΟΣ_ΑΝ\n  Ι <- Ι + 1\nΜΕΧΡΙΣ_ΟΤΟΥ Ι %>% Ν-1 Ή ΠΡΩΤΟΣ = %ΨΕΥΔΗΣ%
