question;answer
Επιλύσιμο είναι ένα πρόβλημα για το οποίο ξέρουμε ότι έχει λύση, αλλά αυτή δεν έχει βρεθεί ακόμη. ;false
Η περατότητα ενός αλγορίθμου αναφέρεται στο γεγονός ότι καταλήγει στη λύση του προβλήματος μετά από πεπερασμένο αριθμό βημάτων (εντολών). ;true
Για να αναπαραστήσουμε τα δεδομένα και τα αποτελέσματα σ’  έναν αλγόριθμο, χρησιμοποιούμε μόνο σταθερές.;false
Στο διάγραμμα ροής το σχήμα του ρόμβου δηλώνει το τέλος ενός αλγορίθμου.;false
Η εντολή εκχώρησης τιμής αποδίδει το αποτέλεσμα μιας έκφρασης (παράστασης) σε μια μεταβλητή.;true
Η συνθήκη που ελέγχεται σε μια δομή επιλογής μπορεί να πάρει περισσότερες από δυο διαφορετικές τιμές.;false
Σε μια εντολή εκχώρησης είναι δυνατόν μια παράσταση στο δεξιό μέλος να περιέχει τη μεταβλητή που βρίσκεται στο αριστερό μέλος.;true
Όλα τα προβλήματα μπορούν να λυθούν με τη βοήθεια ηλεκτρονικού υπολογιστή.;false
Ο υπολογισμός του εμβαδού τετραγώνου είναι πρόβλημα άλυτο.;false
Το διάγραμμα ροής (flow chart) είναι ένας τρόπος περιγραφής αλγορίθμου.;true
Η ομάδα εντολών που περιέχεται σε μια δομή επιλογής μπορεί να μην εκτελεστεί.;true
Τα στοιχεία ενός πίνακα μπορεί να είναι διαφορετικού τύπου.;false
Η τιµή µιας µεταβλητής δεν µπορεί να αλλάξει κατά τη διάρκεια εκτέλεσης ενός αλγόριθµου.;false
Με τον όρο δεδοµένο αναφέρεται οποιοδήποτε γνωσιακό στοιχείο προέρχεται από επεξεργασία δεδοµένων.;false
Σκοπός της συγχώνευσης δύο ταξινοµηµένων πινάκων είναι η δηµιουργία ενός τρίτου ταξινοµηµένου πίνακα, που περιέχει τα στοιχεία των δύο πινάκων.;true
Τα λογικά λάθη είναι συνήθως λάθη σχεδιασµού και δεν προκαλούν τη διακοπή της εκτέλεσης του προγράµµατος.;true
Σε ένα µεγάλο και σύνθετο πρόγραµµα, η άσκοπη χρήση µεγάλων πινάκων µπορεί να οδηγήσει ακόµη και σε αδυναµία εκτέλεσης του προγράµµατος.;true
Οι δυναµικές δοµές έχουν σταθερό µέγεθος;false
Ένας αλγόριθμος είναι μία πεπερασμένη σειρά ενεργειών.;true
Οι ενέργειες που ορίζει ένας αλγόριθμος είναι αυστηρά καθορισμένες.;true
Η έννοια του αλγόριθμου συνδέεται αποκλειστικά με την Πληροφορική.;false
Ο αλγόριθμος τελειώνει μετά από πεπερασμένα βήματα εκτέλεσης εντολών.;true
Ο πιο δομημένος τρόπος παρουσίασης αλγορίθμων είναι με ελεύθερο κείμενο.;false
 Ένας αλγόριθμος στοχεύει στην επίλυση ενός προβλήματος.;true
Ένα πρόγραµµα σε γλώσσα µηχανής είναι µια ακολουθία δυαδικών ψηφίων;true
Ο µεταγλωττιστής δέχεται στην είσοδό του ένα πρόγραµµα γραµµένο σε µια γλώσσα υψηλού επιπέδου και παράγει ένα ισοδύναµο πρόγραµµα σε γλώσσα µηχανής;true
Το πηγαίο πρόγραµµα εκτελείται από τον υπολογιστή χωρίς µεταγλώττιση;false
Ο διερµηνευτής διαβάζει µία προς µία τις εντολές του πηγαίου προγράµµατος και για κάθε µια εκτελεί αµέσως µια ισοδύναµη ακολουθία εντολών µηχανής;true
Ένα πρόγραµµα σε γλώσσα µηχανής χρειάζεται µεταγλώττιση;false
Η ουρά και η στοίβα µπορούν να υλοποιηθούν µε δοµή πίνακα.;true
Η εξαγωγή (dequeue) στοιχείου γίνεται από το εµπρός άκρο της ουράς.;true
Η απώθηση (pop) στοιχείου γίνεται από το πίσω άκρο της στοίβας.;false
Κατά τη διαδικασία της ώθησης πρέπει να ελέγχεται αν η στοίβα είναι γεµάτη.;true
Η ώθηση (push) στοιχείου είναι µία από τις λειτουργίες της ουράς.;false
Η ταξινόμηση είναι μια από τις βασικές λειτουργίες επί των δομών δεδομένων.;true
Τα στοιχεία ενός πίνακα μπορούν να αποτελούνται από δεδομένα διαφορετικού τύπου.;false
Ένα υποπρόγραμμα μπορεί να καλείται από ένα άλλο υποπρόγραμμα ή από το κύριο πρόγραμμα.;true
Στην επαναληπτική δομή Όσο … Επανάλαβε δεν γνωρίζουμε εκ των προτέρων το πλήθος των επαναλήψεων.;true
Κατά την εκτέλεση ενός προγράμματος μπορεί να αλλάζει η τιμή και ο τύπος μιας μεταβλητής.;false
Μια συνάρτηση υπολογίζει και επιστρέφει παραπάνω από μία τιμές με το όνομά της;false
Πολλαπλές επιλογές μπορούν να γίνουν και με μία εμφωλευμένη δομή;true
Στην επαναληπτική δομή Για … από … μέχρι … με_βήμα οι τιμές από, μέχρι και με_βήμα δεν είναι απαραίτητο να είναι ακέραιες;true
Ο πίνακας που χρησιμοποιεί ένα μόνο δείκτη για την αναφορά των στοιχείων του ονομάζεται μονοδιάστατoς;true
Η ΓΛΩΣΣΑ υποστηρίζει τρεις εντολές επανάληψης, την εντολή ΟΣΟ, την εντολή ΜΕΧΡΙΣ_ΟΤΟΥ και την εντολή ΓΙΑ;true
Άλυτα χαρακτηρίζονται εκείνα τα προβλήματα για τα οποία έχουμε φτάσει στην παραδοχή, ότι δεν επιδέχονται λύση.;true
Ένα διάγραμμα ροής αποτελείται από ένα σύνολο γεωμετρικών σχημάτων, όπου το καθένα δηλώνει μια συγκεκριμένη ενέργεια ή λειτουργία.;true
Η εντολή επανάληψης ΟΣΟ … ΕΠΑΝΑΛΑΒΕ εκτελείται τουλάχιστον μία φορά.;false
Η αποτελεσματικότητα είναι ένα από τα κριτήρια που πρέπει να ικανοποιεί ένας αλγόριθμος.;true
Στη δομή επιλογής μπορεί μία ή περισσότερες εντολές να μην εκτελεστούν.;true
Η σειριακή αναζήτηση χρησιμοποιείται αποκλειστικά στους ταξινομημένους πίνακες.;false
Η εντολή επανάληψης ΓΙΑ … ΑΠΟ … ΜΕΧΡΙ … ΜΕ_ΒΗΜΑ μπορεί να χρησιμοποιηθεί, όταν έχουμε άγνωστο αριθμό επαναλήψεων.;false
Για την εκτέλεση μιας εντολής συμβολικής γλώσσας απαιτείται η μετάφρασή της σε γλώσσα μηχανής.;true
Η λίστα των πραγματικών παραμέτρων καθορίζει τις παραμέτρους στην κλήση του υποπρογράμματος.;true
Σε μία δυναμική δομή δεδομένων τα δεδομένα αποθηκεύονται υποχρεωτικά σε συνεχόμενες θέσεις μνήμης.;false
Η ταξινόμηση φυσαλίδας είναι ο πιο απλός και ταυτόχρονα ο πιο γρήγορος αλγόριθμος ταξινόμησης.;false
Ενώ η τιμή μίας μεταβλητής μπορεί να αλλάζει κατά την εκτέλεση του προγράμματος, αυτό που μένει υποχρεωτικά αναλλοίωτο είναι ο τύπος της.;true
Το πρόγραμμα που παράγεται από το μεταγλωττιστή λέγεται εκτελέσιμο.;false
Σε μία εντολή εκχώρησης του αποτελέσματος μίας έκφρασης σε μία μεταβλητή, η μεταβλητή και η έκφραση πρέπει να είναι του ίδιου τύπου.;true
Όταν ένας βρόχος είναι εμφωλευμένος σε άλλο, ο βρόχος που ξεκινάει τελευταίος πρέπει να ολοκληρώνεται πρώτος.;true
Ο πίνακας είναι μία δυναμική δομή δεδομένων.;false
Οι λειτουργίες ώθηση και απώθηση είναι οι κύριες λειτουργίες σε μία στοίβα.;true
Στην εντολή ΓΙΑ ο βρόχος επαναλαμβάνεται για προκαθορισμένο αριθμό επαναλήψεων.;true
Η είσοδος σε κάθε βρόχο επανάληψης υποχρεωτικά γίνεται από την αρχή του.;true
Σε μια εντολή εκχώρησης δεν μπορεί να χρησιμοποιηθεί η ίδια μεταβλητή τόσο στο αριστερό όσο και στο δεξιό μέλος της.;false
∆εν μπορεί να χρησιμοποιηθεί η ίδια μεταβλητή ως μετρητής δύο ή περισσότερων βρόχων που ο ένας βρίσκεται στο εσωτερικό του άλλου. ;true
Κάθε μεταβλητή παίρνει τιμή μόνο με την εντολή ∆ΙΑΒΑΣΕ.;false
Σε ένα διάγραμμα ροής ο ρόμβος δηλώνει την αρχή και το τέλος του αλγόριθμου.;false
Η εντολή επανάληψης ΜΕΧΡΙΣ_ΟΤΟΥ εκτελείται υποχρεωτικά τουλάχιστον μία φορά.;true
Η ιεραρχία των λογικών τελεστών είναι μικρότερη των αριθμητικών.;true
Με τη λειτουργία της συγχώνευσης, δύο ή περισσότερες δομές δεδομένων συνενώνονται σε μία ενιαία δομή.;true
Ο τρόπος κλήσης των διαδικασιών και των συναρτήσεων είναι ίδιος, ενώ ο τρόπος σύνταξής τους είναι διαφορετικός.;false
Όταν αριθμητικοί και συγκριτικοί τελεστές συνδυάζονται σε μία έκφραση, οι αριθμητικές πράξεις εκτελούνται πρώτες.;true
Η έννοια του αλγορίθμου συνδέεται αποκλειστικά και μόνο με προβλήματα της Πληροφορικής. ;false
